trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	24	24.0	27	numeric	word	noninformative	3	1.5	2.5	2.0	4.8	4.9	4.3
baseline	13	13.0	14	numeric	word	noninformative	1	2.9	1.5	2.0	5.1	3.8	5.9
math	16+25	41.0	37	word	word	noninformative	-4	2.5	2.4	2.0	4.4	4.3	3.4
math	25*29	725.0	725	word	numeric	noninformative	0	2.9	1.9	2.0	5.9	4.7	5.6
math	10-6	4.0	6	word	word	informative	2	2.6	1.2	2.0	5.7	4.4	3.7
baseline	15	15.0	12	numeric	word	noninformative	-3	2.6	2.1	2.0	4.3	7.8	4.3
math	24*6	144.0	136	numeric	word	informative	-8	1.2	2.8	2.0	7.3	5.2	4.8
math	9-6	3.0	10	word	numeric	noninformative	7	1.1	2.4	2.0	4.1	4.4	6.2
math	3/2	1.5	0	word	numeric	informative	-1	1.3	1.4	2.0	4.2	3.6	6.0
math	14/2	7.0	4	numeric	numeric	noninformative	-3	2.7	1.0	2.0	4.1	7.6	3.5
baseline	27	27.0	28	numeric	word	noninformative	1	1.9	1.6	2.0	5.6	5.3	3.5
math	25*24	600.0	590	word	numeric	noninformative	-10	1.9	1.9	2.0	5.1	4.7	5.7
math	23/15	1.5	4	numeric	numeric	informative	2	1.3	2.7	2.0	3.7	4.1	3.9
math	30+28	58.0	56	word	word	noninformative	-2	1.8	1.5	2.0	4.0	4.4	3.8
baseline	3	3.0	8	numeric	numeric	noninformative	5	2.6	1.6	2.0	3.8	5.2	4.1
math	27+15	42.0	47	numeric	numeric	informative	5	2.2	1.0	2.0	4.5	3.8	3.5
math	24*16	384.0	387	numeric	word	informative	3	1.3	2.7	2.0	5.9	3.1	6.0
baseline	1	1.0	6	word	numeric	informative	5	1.1	2.0	2.0	2.9	4.6	6.9
baseline	23	23.0	19	word	word	informative	-4	2.4	2.9	2.0	3.2	3.2	3.7
math	19/5	3.8	11	numeric	word	noninformative	7	1.8	2.4	2.0	4.2	5.3	5.4
baseline	14	14.0	17	word	numeric	informative	3	2.4	1.8	2.0	3.3	4.6	6.3
math	8-19	-11.0	-6	word	numeric	informative	5	1.8	2.4	2.0	4.4	3.9	5.4
math	19-1	18.0	14	word	numeric	informative	-4	2.9	2.2	2.0	4.5	3.7	7.1
math	8+18	26.0	23	numeric	word	informative	-3	2.4	2.2	2.0	7.9	4.3	4.0
