trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	17*26	442.0	445	word	numeric	informative	3	1.4	1.7	2.0	3.9	4.9	7.0
baseline	16	16.0	17	numeric	numeric	informative	1	2.7	1.3	2.0	5.9	4.4	3.4
math	23+14	37.0	29	word	word	informative	-8	1.4	1.3	2.0	3.2	7.9	4.3
math	4-14	-10.0	-9	numeric	numeric	noninformative	1	2.8	2.9	2.0	3.7	2.8	3.8
baseline	18	18.0	13	numeric	word	noninformative	-5	2.0	2.9	2.0	6.8	5.3	3.2
math	23+10	33.0	37	numeric	numeric	noninformative	4	2.2	1.4	2.0	3.1	3.2	3.9
math	30/7	4.3	4	word	word	noninformative	0	2.5	1.0	2.0	4.7	5.9	4.3
math	14/13	1.1	1	word	word	informative	0	2.0	1.4	2.0	4.1	5.7	4.3
math	17-28	-11.0	-8	word	numeric	informative	3	1.6	2.4	2.0	3.7	4.2	5.5
math	12+26	38.0	29	numeric	word	informative	-9	1.4	2.6	2.0	4.2	4.6	5.2
math	30/28	1.1	4	word	word	noninformative	3	1.2	1.0	2.0	3.2	4.2	3.8
math	13-1	12.0	2	numeric	numeric	noninformative	-10	2.5	2.2	2.0	5.1	3.8	5.7
baseline	3	3.0	1	word	numeric	noninformative	-2	1.9	1.0	2.0	3.9	6.6	6.3
math	26+11	37.0	38	numeric	word	informative	1	1.3	2.0	2.0	3.1	3.8	4.6
math	6-28	-22.0	-16	numeric	numeric	noninformative	6	2.8	2.3	2.0	4.1	4.9	6.7
math	4*9	36.0	26	word	word	informative	-10	1.5	3.0	2.0	5.2	3.9	7.7
baseline	14	14.0	16	numeric	numeric	informative	2	1.8	1.5	2.0	5.1	4.3	4.4
baseline	3	3.0	1	numeric	word	noninformative	-2	1.6	2.6	2.0	4.2	6.1	7.9
math	30*26	780.0	779	word	word	informative	-1	2.3	2.7	2.0	4.3	6.6	7.0
baseline	7	7.0	12	word	numeric	noninformative	5	2.2	2.8	2.0	2.6	7.5	3.3
baseline	14	14.0	17	word	word	informative	3	2.2	1.0	2.0	4.0	4.6	3.3
math	17*1	17.0	16	word	word	noninformative	-1	1.5	1.9	2.0	3.9	4.2	3.5
baseline	13	13.0	22	numeric	numeric	noninformative	9	1.6	3.0	2.0	5.4	4.4	4.5
math	6/1	6.0	9	numeric	numeric	informative	3	1.5	1.8	2.0	9.8	5.7	4.1
