trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	6/6	1.0	3	numeric	numeric	informative	2	1.3	1.3	2.0	4.0	5.3	5.9
baseline	27	27.0	29	numeric	numeric	noninformative	2	2.7	2.6	2.0	3.5	4.3	4.9
baseline	28	28.0	28	numeric	word	noninformative	0	2.0	2.4	2.0	4.2	4.3	4.2
math	2-26	-24.0	-26	word	word	informative	-2	1.8	2.2	2.0	3.3	7.3	2.5
math	18/13	1.4	5	word	numeric	informative	4	2.0	2.3	2.0	6.3	4.9	6.2
math	29-30	-1.0	-4	word	numeric	noninformative	-3	2.2	2.0	2.0	5.9	4.4	4.3
math	25+23	48.0	56	numeric	word	noninformative	8	3.0	1.5	2.0	4.8	3.9	4.3
math	1*11	11.0	10	numeric	word	informative	-1	1.9	1.8	2.0	4.5	5.1	4.3
math	12+9	21.0	23	numeric	numeric	noninformative	2	2.7	2.0	2.0	5.4	5.1	4.8
baseline	10	10.0	11	word	word	noninformative	1	1.7	2.4	2.0	4.2	5.2	6.3
math	18+23	41.0	41	word	word	informative	0	2.2	1.8	2.0	3.5	3.6	4.3
baseline	30	30.0	31	word	word	informative	1	2.2	2.0	2.0	4.7	4.4	3.0
baseline	6	6.0	6	numeric	numeric	informative	0	1.1	2.9	2.0	3.6	4.4	2.9
math	19*4	76.0	77	word	word	noninformative	1	2.4	2.6	2.0	5.1	4.1	5.6
math	18*22	396.0	390	word	numeric	informative	-6	1.1	2.3	2.0	4.2	3.7	4.2
math	20/4	5.0	1	word	numeric	noninformative	-4	2.1	2.7	2.0	6.3	6.2	4.7
math	5-28	-23.0	-23	numeric	word	informative	0	2.2	2.3	2.0	6.6	4.9	4.1
baseline	23	23.0	19	numeric	numeric	informative	-4	1.2	2.2	2.0	3.5	4.3	3.3
math	30-30	0.0	3	word	word	noninformative	3	2.9	2.3	2.0	5.8	4.0	3.5
baseline	8	8.0	1	numeric	word	noninformative	-7	1.1	1.2	2.0	3.8	4.6	6.0
math	4+9	13.0	14	numeric	numeric	informative	1	2.0	2.5	2.0	4.3	4.2	5.5
math	20/6	3.3	7	word	numeric	informative	4	2.3	2.8	2.0	3.2	4.0	6.4
baseline	27	27.0	26	numeric	numeric	noninformative	-1	1.1	1.2	2.0	6.3	6.7	6.0
math	16*17	272.0	274	word	word	noninformative	2	1.1	2.8	2.0	6.9	3.5	6.1
