trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	11+14	25.0	22	numeric	word	informative	-3	2.2	1.9	2.0	4.6	6.4	3.1
baseline	18	18.0	16	numeric	word	noninformative	-2	2.7	1.4	2.0	6.9	5.2	3.3
baseline	30	30.0	32	word	word	noninformative	2	3.0	2.3	2.0	6.6	5.1	4.5
math	16*29	464.0	470	numeric	numeric	informative	6	2.3	2.5	2.0	3.2	3.4	4.0
math	19-25	-6.0	-13	numeric	word	informative	-7	1.4	2.5	2.0	4.6	4.8	2.9
baseline	27	27.0	36	numeric	word	noninformative	9	2.2	1.4	2.0	3.7	4.1	5.7
baseline	15	15.0	11	numeric	numeric	noninformative	-4	1.9	1.6	2.0	3.2	6.1	3.8
math	26/23	1.1	3	word	numeric	informative	2	2.1	1.3	2.0	3.7	4.5	3.8
baseline	1	1.0	3	numeric	numeric	noninformative	2	2.7	1.5	2.0	5.5	6.8	6.2
math	7-10	-3.0	-4	word	numeric	noninformative	-1	1.4	2.6	2.0	4.3	3.5	3.6
math	15+12	27.0	29	word	word	noninformative	2	1.4	2.1	2.0	4.4	3.9	5.1
baseline	27	27.0	27	word	numeric	noninformative	0	1.2	1.5	2.0	4.4	5.7	4.6
math	30*8	240.0	237	numeric	word	informative	-3	2.3	2.8	2.0	4.6	4.3	4.7
math	29/29	1.0	-9	numeric	numeric	informative	-10	2.2	2.4	2.0	3.9	7.1	5.3
math	25*21	525.0	515	word	numeric	informative	-10	2.6	2.0	2.0	4.3	3.9	3.3
math	20*29	580.0	584	word	numeric	informative	4	1.7	1.9	2.0	6.2	4.4	4.1
math	7+17	24.0	24	word	numeric	noninformative	0	2.4	2.8	2.0	3.8	6.8	5.0
math	8/1	8.0	10	word	word	informative	2	2.0	2.9	2.0	3.8	6.4	5.4
math	6+22	28.0	26	numeric	word	informative	-2	2.0	2.3	2.0	5.4	4.5	5.1
math	29-28	1.0	0	word	numeric	informative	-1	2.5	2.5	2.0	6.1	5.5	3.9
math	14-21	-7.0	-10	word	word	informative	-3	1.1	1.1	2.0	6.3	3.0	4.1
math	17/9	1.9	0	numeric	numeric	noninformative	-2	2.8	2.5	2.0	3.8	6.0	4.2
baseline	17	17.0	25	word	word	noninformative	8	1.4	1.0	2.0	3.6	4.3	3.3
baseline	4	4.0	10	numeric	word	noninformative	6	2.4	1.4	2.0	8.3	4.8	5.2
